Size(Bytes),MallocTime(ns),FreeTime(ns),TotalTime(ns)
1,49.04,42.62,91.66
2,37.90,33.14,71.04
4,38.16,35.16,73.32
8,37.64,34.54,72.18
16,55.38,47.30,102.68
32,71.64,60.10,131.74
64,57.02,46.84,103.86
128,55.18,43.08,98.26
256,45.90,56.22,102.12
512,75.54,46.52,122.06
1024,71.14,49.68,120.82
2048,62.06,47.78,109.84
4096,65.06,47.48,112.54
8192,67.18,49.46,116.64
16384,61.00,45.32,106.32
32768,69.26,67.78,137.04
65536,854.14,533.26,1387.40
131072,207.84,190.60,398.44
262144,95.52,84.12,179.64
524288,2990.28,1785.48,4775.76
1048576,3936.94,2710.74,6647.68
2097152,3776.58,2864.94,6641.52
4194304,3951.84,4059.44,8011.28
8388608,4070.00,4115.24,8185.24
16777216,4251.40,3803.32,8054.72
33554432,3531.10,3487.30,7018.40
67108864,4140.14,4045.90,8186.04
134217728,4122.26,4065.10,8187.36
268435456,4583.68,4715.36,9299.04
536870912,5360.70,6571.12,11931.82
1073741824,6463.42,8222.60,14686.02
