Size(Bytes),VirtualAllocTime(ns),VirtualFreeTime(ns),TotalTime(ns)
1,632.78,727.24,1360.02
2,668.64,753.82,1422.46
4,644.86,727.64,1372.50
8,642.94,731.74,1374.68
16,664.84,761.98,1426.82
32,655.46,738.52,1393.98
64,677.56,763.40,1440.96
128,643.42,728.42,1371.84
256,654.22,734.72,1388.94
512,658.16,729.84,1388.00
1024,693.80,784.78,1478.58
2048,638.60,723.20,1361.80
4096,696.96,788.66,1485.62
8192,661.84,755.76,1417.60
16384,644.12,731.40,1375.52
32768,686.08,783.96,1470.04
65536,648.82,768.32,1417.14
131072,645.66,816.26,1461.92
262144,651.00,939.06,1590.06
524288,643.72,1130.08,1773.80
1048576,682.40,1508.00,2190.40
2097152,700.92,1100.14,1801.06
4194304,654.42,1033.12,1687.54
8388608,670.70,1048.06,1718.76
16777216,699.28,1121.80,1821.08
33554432,730.98,1173.66,1904.64
67108864,773.84,1255.82,2029.66
134217728,883.72,1447.52,2331.24
268435456,1147.56,1903.26,3050.82
536870912,1601.34,2727.56,4328.90
1073741824,2541.86,4565.02,7106.88
